epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573014315035,2019-11-05T20:25:15.035,0.000,0.336,-0.837,0.415
1573014315075,2019-11-05T20:25:15.075,0.040,0.341,-0.824,0.420
1573014315116,2019-11-05T20:25:15.116,0.081,0.336,-0.833,0.411
1573014315155,2019-11-05T20:25:15.155,0.120,0.333,-0.837,0.420
1573014315195,2019-11-05T20:25:15.195,0.160,0.340,-0.839,0.419
1573014315236,2019-11-05T20:25:15.236,0.201,0.346,-0.853,0.416
1573014315275,2019-11-05T20:25:15.275,0.240,0.345,-0.828,0.417
1573014315316,2019-11-05T20:25:15.316,0.281,0.344,-0.827,0.417
1573014315356,2019-11-05T20:25:15.356,0.321,0.340,-0.840,0.415
1573014315395,2019-11-05T20:25:15.395,0.360,0.345,-0.837,0.418
1573014315436,2019-11-05T20:25:15.436,0.401,0.347,-0.836,0.417
1573014315476,2019-11-05T20:25:15.476,0.441,0.352,-0.831,0.417
1573014315516,2019-11-05T20:25:15.516,0.481,0.352,-0.822,0.418
1573014315557,2019-11-05T20:25:15.557,0.522,0.354,-0.836,0.417
1573014315596,2019-11-05T20:25:15.596,0.561,0.355,-0.827,0.424
1573014315637,2019-11-05T20:25:15.637,0.602,0.356,-0.833,0.420
1573014315677,2019-11-05T20:25:15.677,0.642,0.360,-0.828,0.421
1573014315716,2019-11-05T20:25:15.716,0.681,0.359,-0.825,0.418
1573014315757,2019-11-05T20:25:15.757,0.722,0.353,-0.824,0.417
1573014315797,2019-11-05T20:25:15.797,0.762,0.346,-0.820,0.420
1573014315838,2019-11-05T20:25:15.838,0.803,0.351,-0.831,0.410
1573014315877,2019-11-05T20:25:15.877,0.842,0.354,-0.831,0.413
1573014315917,2019-11-05T20:25:15.917,0.882,0.356,-0.829,0.417
1573014315958,2019-11-05T20:25:15.958,0.923,0.356,-0.837,0.423
1573014315997,2019-11-05T20:25:15.997,0.962,0.352,-0.838,0.419
1573014316038,2019-11-05T20:25:16.038,1.003,0.352,-0.825,0.417
1573014316078,2019-11-05T20:25:16.078,1.043,0.350,-0.836,0.413
1573014316118,2019-11-05T20:25:16.118,1.083,0.344,-0.839,0.412
1573014316159,2019-11-05T20:25:16.159,1.124,0.344,-0.824,0.413
1573014316198,2019-11-05T20:25:16.198,1.163,0.343,-0.836,0.413
1573014316239,2019-11-05T20:25:16.239,1.204,0.344,-0.839,0.421
1573014316279,2019-11-05T20:25:16.279,1.244,0.346,-0.837,0.415
1573014316318,2019-11-05T20:25:16.318,1.283,0.346,-0.831,0.414
1573014316359,2019-11-05T20:25:16.359,1.324,0.346,-0.838,0.412
1573014316399,2019-11-05T20:25:16.399,1.364,0.339,-0.836,0.417
1573014316440,2019-11-05T20:25:16.440,1.405,0.342,-0.824,0.415
1573014316479,2019-11-05T20:25:16.479,1.444,0.344,-0.850,0.409
1573014316519,2019-11-05T20:25:16.519,1.484,0.346,-0.835,0.415
1573014316560,2019-11-05T20:25:16.560,1.525,0.346,-0.826,0.420
1573014316600,2019-11-05T20:25:16.600,1.565,0.343,-0.845,0.419
1573014316641,2019-11-05T20:25:16.641,1.606,0.346,-0.833,0.418
1573014316680,2019-11-05T20:25:16.680,1.645,0.344,-0.842,0.419
1573014316720,2019-11-05T20:25:16.720,1.685,0.346,-0.837,0.415
1573014316761,2019-11-05T20:25:16.761,1.726,0.346,-0.838,0.414
1573014316800,2019-11-05T20:25:16.800,1.765,0.348,-0.820,0.422
1573014316841,2019-11-05T20:25:16.841,1.806,0.347,-0.824,0.419
1573014316881,2019-11-05T20:25:16.881,1.846,0.348,-0.839,0.416
1573014316920,2019-11-05T20:25:16.920,1.885,0.349,-0.832,0.422
1573014316961,2019-11-05T20:25:16.961,1.926,0.349,-0.833,0.420
1573014317001,2019-11-05T20:25:17.001,1.966,0.341,-0.828,0.424
1573014317040,2019-11-05T20:25:17.040,2.005,0.342,-0.834,0.418
1573014317081,2019-11-05T20:25:17.081,2.046,0.346,-0.840,0.416
1573014317121,2019-11-05T20:25:17.121,2.086,0.349,-0.831,0.423
1573014317162,2019-11-05T20:25:17.162,2.127,0.352,-0.823,0.424
1573014317202,2019-11-05T20:25:17.202,2.167,0.348,-0.832,0.420
1573014317241,2019-11-05T20:25:17.241,2.206,0.343,-0.836,0.422
1573014317282,2019-11-05T20:25:17.282,2.247,0.345,-0.841,0.419
1573014317322,2019-11-05T20:25:17.322,2.287,0.347,-0.828,0.420
1573014317363,2019-11-05T20:25:17.363,2.328,0.345,-0.835,0.421
1573014317402,2019-11-05T20:25:17.402,2.367,0.346,-0.834,0.421
1573014317442,2019-11-05T20:25:17.442,2.407,0.345,-0.828,0.424
1573014317483,2019-11-05T20:25:17.483,2.448,0.347,-0.835,0.423
1573014317522,2019-11-05T20:25:17.522,2.487,0.347,-0.837,0.422
1573014317563,2019-11-05T20:25:17.563,2.528,0.348,-0.831,0.418
1573014317603,2019-11-05T20:25:17.603,2.568,0.343,-0.834,0.421
1573014317642,2019-11-05T20:25:17.642,2.607,0.343,-0.820,0.433
1573014317684,2019-11-05T20:25:17.684,2.649,0.348,-0.832,0.424
1573014317723,2019-11-05T20:25:17.723,2.688,0.353,-0.831,0.428
1573014317764,2019-11-05T20:25:17.764,2.729,0.354,-0.812,0.435
1573014317804,2019-11-05T20:25:17.804,2.769,0.347,-0.841,0.424
1573014317843,2019-11-05T20:25:17.843,2.808,0.343,-0.861,0.425
1573014317884,2019-11-05T20:25:17.884,2.849,0.345,-0.842,0.428
1573014317924,2019-11-05T20:25:17.924,2.889,0.349,-0.830,0.423
1573014317965,2019-11-05T20:25:17.965,2.930,0.345,-0.833,0.433
1573014318004,2019-11-05T20:25:18.004,2.969,0.345,-0.828,0.442
1573014318044,2019-11-05T20:25:18.044,3.009,0.343,-0.814,0.450
1573014318085,2019-11-05T20:25:18.085,3.050,0.343,-0.818,0.447
1573014318124,2019-11-05T20:25:18.124,3.089,0.346,-0.825,0.450
1573014318165,2019-11-05T20:25:18.165,3.130,0.348,-0.802,0.472
1573014318205,2019-11-05T20:25:18.205,3.170,0.349,-0.770,0.495
1573014318245,2019-11-05T20:25:18.245,3.210,0.341,-0.773,0.486
1573014318286,2019-11-05T20:25:18.286,3.251,0.342,-0.769,0.489
1573014318325,2019-11-05T20:25:18.325,3.290,0.347,-0.780,0.499
1573014318366,2019-11-05T20:25:18.366,3.331,0.344,-0.822,0.492
1573014318406,2019-11-05T20:25:18.406,3.371,0.344,-0.855,0.507
1573014318445,2019-11-05T20:25:18.445,3.410,0.358,-0.810,0.488
1573014318486,2019-11-05T20:25:18.486,3.451,0.342,-0.766,0.490
1573014318526,2019-11-05T20:25:18.526,3.491,0.329,-0.798,0.499
1573014318567,2019-11-05T20:25:18.567,3.532,0.340,-0.796,0.498
1573014318606,2019-11-05T20:25:18.606,3.571,0.335,-0.780,0.496
1573014318646,2019-11-05T20:25:18.646,3.611,0.335,-0.783,0.485
1573014318687,2019-11-05T20:25:18.687,3.652,0.332,-0.789,0.507
1573014318726,2019-11-05T20:25:18.726,3.691,0.344,-0.810,0.497
1573014318766,2019-11-05T20:25:18.766,3.731,0.346,-0.780,0.473
1573014318807,2019-11-05T20:25:18.807,3.772,0.331,-0.785,0.476
1573014318847,2019-11-05T20:25:18.847,3.812,0.325,-0.796,0.500
1573014318888,2019-11-05T20:25:18.888,3.853,0.322,-0.807,0.495
1573014318927,2019-11-05T20:25:18.927,3.892,0.330,-0.830,0.473
1573014318967,2019-11-05T20:25:18.967,3.932,0.338,-0.834,0.462
1573014319008,2019-11-05T20:25:19.008,3.973,0.338,-0.824,0.485
1573014319047,2019-11-05T20:25:19.047,4.012,0.353,-0.821,0.455
1573014319088,2019-11-05T20:25:19.088,4.053,0.355,-0.815,0.455
1573014319128,2019-11-05T20:25:19.128,4.093,0.354,-0.812,0.470
1573014319167,2019-11-05T20:25:19.167,4.132,0.358,-0.811,0.442
1573014319208,2019-11-05T20:25:19.208,4.173,0.350,-0.811,0.449
1573014319248,2019-11-05T20:25:19.248,4.213,0.342,-0.816,0.462
1573014319289,2019-11-05T20:25:19.289,4.254,0.349,-0.822,0.452
1573014319329,2019-11-05T20:25:19.329,4.294,0.350,-0.781,0.469
1573014319368,2019-11-05T20:25:19.368,4.333,0.361,-0.806,0.443
1573014319409,2019-11-05T20:25:19.409,4.374,0.352,-0.800,0.466
1573014319449,2019-11-05T20:25:19.449,4.414,0.346,-0.828,0.490
1573014319490,2019-11-05T20:25:19.490,4.455,0.348,-0.835,0.467
1573014319529,2019-11-05T20:25:19.529,4.494,0.354,-0.823,0.466
1573014319569,2019-11-05T20:25:19.569,4.534,0.356,-0.812,0.459
1573014319610,2019-11-05T20:25:19.610,4.575,0.372,-0.816,0.471
1573014319649,2019-11-05T20:25:19.649,4.614,0.384,-0.803,0.487
1573014319690,2019-11-05T20:25:19.690,4.655,0.379,-0.776,0.473
1573014319730,2019-11-05T20:25:19.730,4.695,0.360,-0.782,0.488
1573014319769,2019-11-05T20:25:19.769,4.734,0.345,-0.760,0.500
1573014319810,2019-11-05T20:25:19.810,4.775,0.353,-0.754,0.471
1573014319850,2019-11-05T20:25:19.850,4.815,0.355,-0.804,0.439
1573014319891,2019-11-05T20:25:19.891,4.856,0.364,-0.841,0.426
1573014319931,2019-11-05T20:25:19.931,4.896,0.387,-0.858,0.384
1573014319970,2019-11-05T20:25:19.970,4.935,0.383,-0.883,0.375
1573014320011,2019-11-05T20:25:20.011,4.976,0.378,-0.923,0.336
1573014320051,2019-11-05T20:25:20.051,5.016,0.375,-0.838,0.346
1573014320092,2019-11-05T20:25:20.092,5.057,0.354,-0.832,0.299
1573014320131,2019-11-05T20:25:20.131,5.096,0.316,-0.853,0.355
1573014320171,2019-11-05T20:25:20.171,5.136,0.335,-0.872,0.354
1573014320212,2019-11-05T20:25:20.212,5.177,0.306,-0.755,0.431
1573014320251,2019-11-05T20:25:20.251,5.216,0.293,-0.806,0.483
1573014320291,2019-11-05T20:25:20.291,5.256,0.310,-0.855,0.418
1573014320332,2019-11-05T20:25:20.332,5.297,0.281,-0.816,0.492
1573014320371,2019-11-05T20:25:20.371,5.336,0.299,-0.836,0.465
1573014320413,2019-11-05T20:25:20.413,5.378,0.283,-0.838,0.452
1573014320452,2019-11-05T20:25:20.452,5.417,0.260,-0.806,0.439
1573014320492,2019-11-05T20:25:20.492,5.457,0.258,-0.831,0.442
1573014320533,2019-11-05T20:25:20.533,5.498,0.251,-0.920,0.422
1573014320572,2019-11-05T20:25:20.572,5.537,0.236,-0.900,0.441
1573014320613,2019-11-05T20:25:20.613,5.578,0.231,-0.858,0.457
1573014320653,2019-11-05T20:25:20.653,5.618,0.204,-0.869,0.497
1573014320692,2019-11-05T20:25:20.692,5.657,0.192,-0.917,0.531
1573014320733,2019-11-05T20:25:20.733,5.698,0.225,-0.919,0.561
1573014320773,2019-11-05T20:25:20.773,5.738,0.259,-0.895,0.558
1573014320814,2019-11-05T20:25:20.814,5.779,0.267,-0.869,0.526
1573014320853,2019-11-05T20:25:20.853,5.818,0.255,-0.801,0.511
1573014320893,2019-11-05T20:25:20.893,5.858,0.221,-0.746,0.492
1573014320934,2019-11-05T20:25:20.934,5.899,0.181,-0.731,0.494
1573014320974,2019-11-05T20:25:20.974,5.939,0.170,-0.752,0.492
1573014321015,2019-11-05T20:25:21.015,5.980,0.169,-0.757,0.475
1573014321054,2019-11-05T20:25:21.054,6.019,0.164,-0.812,0.512
1573014321094,2019-11-05T20:25:21.094,6.059,0.208,-0.846,0.518
1573014321135,2019-11-05T20:25:21.135,6.100,0.250,-0.851,0.479
1573014321174,2019-11-05T20:25:21.174,6.139,0.258,-0.921,0.451
1573014321215,2019-11-05T20:25:21.215,6.180,0.296,-0.957,0.429
1573014321255,2019-11-05T20:25:21.255,6.220,0.259,-1.016,0.452
1573014321294,2019-11-05T20:25:21.294,6.259,0.229,-1.019,0.411
1573014321335,2019-11-05T20:25:21.335,6.300,0.236,-0.863,0.388
1573014321375,2019-11-05T20:25:21.375,6.340,0.219,-0.803,0.376
1573014321416,2019-11-05T20:25:21.416,6.381,0.228,-0.861,0.337
1573014321455,2019-11-05T20:25:21.455,6.420,0.258,-0.923,0.253
1573014321495,2019-11-05T20:25:21.495,6.460,0.262,-0.891,0.203
1573014321536,2019-11-05T20:25:21.536,6.501,0.226,-0.917,0.259
1573014321576,2019-11-05T20:25:21.576,6.541,0.228,-0.991,0.271
1573014321617,2019-11-05T20:25:21.617,6.582,0.266,-1.065,0.196
1573014321656,2019-11-05T20:25:21.656,6.621,0.252,-0.992,0.237
1573014321696,2019-11-05T20:25:21.696,6.661,0.257,-0.870,0.271
1573014321737,2019-11-05T20:25:21.737,6.702,0.263,-0.794,0.282
1573014321776,2019-11-05T20:25:21.776,6.741,0.269,-0.763,0.350
1573014321816,2019-11-05T20:25:21.816,6.781,0.265,-0.886,0.439
1573014321857,2019-11-05T20:25:21.857,6.822,0.246,-0.979,0.459
1573014321896,2019-11-05T20:25:21.896,6.861,0.278,-0.923,0.437
1573014321937,2019-11-05T20:25:21.937,6.902,0.301,-0.872,0.470
1573014321977,2019-11-05T20:25:21.977,6.942,0.310,-0.884,0.434
1573014322017,2019-11-05T20:25:22.017,6.982,0.330,-0.863,0.413
1573014322058,2019-11-05T20:25:22.058,7.023,0.362,-0.840,0.407
1573014322097,2019-11-05T20:25:22.097,7.062,0.359,-0.852,0.442
1573014322138,2019-11-05T20:25:22.138,7.103,0.314,-0.817,0.519
1573014322178,2019-11-05T20:25:22.178,7.143,0.280,-0.813,0.661
1573014322217,2019-11-05T20:25:22.217,7.182,0.278,-0.776,0.772
1573014322258,2019-11-05T20:25:22.258,7.223,0.231,-0.871,0.819
1573014322298,2019-11-05T20:25:22.298,7.263,0.229,-0.913,0.761
1573014322339,2019-11-05T20:25:22.339,7.304,0.292,-0.739,0.637
1573014322378,2019-11-05T20:25:22.378,7.343,0.295,-0.663,0.421
1573014322418,2019-11-05T20:25:22.418,7.383,0.309,-0.531,0.341
1573014322459,2019-11-05T20:25:22.459,7.424,0.340,-0.489,0.239
1573014322498,2019-11-05T20:25:22.498,7.463,0.364,-0.542,0.251
1573014322539,2019-11-05T20:25:22.539,7.504,0.328,-0.820,0.340
1573014322579,2019-11-05T20:25:22.579,7.544,0.280,-1.122,0.514
1573014322619,2019-11-05T20:25:22.619,7.584,0.250,-0.974,0.784
1573014322660,2019-11-05T20:25:22.660,7.625,0.327,-0.709,0.870
1573014322699,2019-11-05T20:25:22.699,7.664,0.396,-0.555,0.869
1573014322740,2019-11-05T20:25:22.740,7.705,0.452,-0.573,0.740
1573014322780,2019-11-05T20:25:22.780,7.745,0.507,-0.628,0.620
1573014322819,2019-11-05T20:25:22.819,7.784,0.517,-0.696,0.533
1573014322860,2019-11-05T20:25:22.860,7.825,0.519,-0.763,0.476
1573014322900,2019-11-05T20:25:22.900,7.865,0.561,-0.777,0.477
1573014322941,2019-11-05T20:25:22.941,7.906,0.507,-0.773,0.402
1573014322980,2019-11-05T20:25:22.980,7.945,0.471,-0.771,0.342
1573014323020,2019-11-05T20:25:23.020,7.985,0.456,-0.780,0.310
1573014323061,2019-11-05T20:25:23.061,8.026,0.327,-0.833,0.333
1573014323100,2019-11-05T20:25:23.100,8.065,-0.202,-0.756,0.767
1573014323142,2019-11-05T20:25:23.142,8.107,-0.209,-0.477,1.686
1573014323181,2019-11-05T20:25:23.181,8.146,0.376,-1.021,0.494
1573014323221,2019-11-05T20:25:23.221,8.186,0.244,-1.223,0.350
1573014323262,2019-11-05T20:25:23.262,8.227,0.253,-0.624,0.948
1573014323301,2019-11-05T20:25:23.301,8.266,0.352,-0.346,0.748
1573014323341,2019-11-05T20:25:23.341,8.306,0.490,-0.406,0.476
1573014323382,2019-11-05T20:25:23.382,8.347,0.488,-0.512,0.434
1573014323421,2019-11-05T20:25:23.421,8.386,0.446,-0.866,0.287
1573014323462,2019-11-05T20:25:23.462,8.427,0.404,-1.078,0.256
1573014323502,2019-11-05T20:25:23.502,8.467,0.346,-0.963,0.352
1573014323541,2019-11-05T20:25:23.541,8.506,0.298,-0.858,0.412
1573014323582,2019-11-05T20:25:23.582,8.547,0.276,-0.792,0.492
1573014323622,2019-11-05T20:25:23.622,8.587,0.307,-0.855,0.489
1573014323663,2019-11-05T20:25:23.663,8.628,0.384,-0.903,0.404
1573014323703,2019-11-05T20:25:23.703,8.668,0.418,-0.900,0.312
1573014323742,2019-11-05T20:25:23.742,8.707,0.472,-0.851,0.267
1573014323783,2019-11-05T20:25:23.783,8.748,0.563,-0.643,0.295
1573014323823,2019-11-05T20:25:23.823,8.788,0.619,-0.619,0.258
1573014323864,2019-11-05T20:25:23.864,8.829,0.615,-0.809,0.281
1573014323903,2019-11-05T20:25:23.903,8.868,0.628,-0.822,0.307
1573014323943,2019-11-05T20:25:23.943,8.908,0.655,-0.705,0.338
1573014323984,2019-11-05T20:25:23.984,8.949,0.651,-0.752,0.308
1573014324023,2019-11-05T20:25:24.023,8.988,0.249,-0.935,0.370
1573014324064,2019-11-05T20:25:24.064,9.029,-0.317,-0.266,1.927
1573014324104,2019-11-05T20:25:24.104,9.069,0.438,-0.382,0.750
1573014324143,2019-11-05T20:25:24.143,9.108,0.296,-1.219,0.574
1573014324184,2019-11-05T20:25:24.184,9.149,0.401,-0.524,0.916
1573014324224,2019-11-05T20:25:24.224,9.189,0.777,-0.321,0.668
1573014324265,2019-11-05T20:25:24.265,9.230,0.855,-0.815,0.704
1573014324305,2019-11-05T20:25:24.305,9.270,0.754,-0.970,0.869
1573014324344,2019-11-05T20:25:24.344,9.309,0.764,-0.536,0.952
1573014324385,2019-11-05T20:25:24.385,9.350,0.707,-0.337,0.668
1573014324425,2019-11-05T20:25:24.425,9.390,0.518,-0.253,0.496
1573014324466,2019-11-05T20:25:24.466,9.431,0.404,-0.035,0.421
1573014324505,2019-11-05T20:25:24.505,9.470,0.362,0.095,0.311
1573014324545,2019-11-05T20:25:24.545,9.510,0.256,0.085,0.306
1573014324586,2019-11-05T20:25:24.586,9.551,0.209,0.002,0.231
1573014324625,2019-11-05T20:25:24.625,9.590,0.220,-0.358,0.162
1573014324666,2019-11-05T20:25:24.666,9.631,-0.011,-1.266,0.582
1573014324706,2019-11-05T20:25:24.706,9.671,-0.019,-1.178,1.117
1573014324746,2019-11-05T20:25:24.746,9.711,0.342,-1.643,0.925
1573014324787,2019-11-05T20:25:24.787,9.752,0.797,-1.464,0.662
1573014324826,2019-11-05T20:25:24.826,9.791,1.000,-1.303,0.133
1573014324867,2019-11-05T20:25:24.867,9.832,1.281,-0.437,-0.346
1573014324907,2019-11-05T20:25:24.907,9.872,1.286,-0.362,-0.598
1573014324946,2019-11-05T20:25:24.946,9.911,1.180,-0.600,-0.351
1573014324987,2019-11-05T20:25:24.987,9.952,0.664,-0.881,0.183
1573014325027,2019-11-05T20:25:25.027,9.992,0.146,-0.852,0.468
1573014325066,2019-11-05T20:25:25.066,10.031,0.602,-0.558,0.523
1573014325107,2019-11-05T20:25:25.107,10.072,0.587,-1.252,0.326
1573014325147,2019-11-05T20:25:25.147,10.112,0.464,-1.167,0.218
1573014325188,2019-11-05T20:25:25.188,10.153,0.636,-0.680,0.182
1573014325227,2019-11-05T20:25:25.227,10.192,0.863,-0.554,0.092
1573014325267,2019-11-05T20:25:25.267,10.232,0.834,-0.551,0.190
1573014325308,2019-11-05T20:25:25.308,10.273,0.745,-0.648,0.208
1573014325348,2019-11-05T20:25:25.348,10.313,0.678,-0.707,0.412
1573014325389,2019-11-05T20:25:25.389,10.354,0.568,-0.763,0.696
1573014325428,2019-11-05T20:25:25.428,10.393,0.620,-0.708,0.927
1573014325468,2019-11-05T20:25:25.468,10.433,0.629,-0.274,1.062
1573014325509,2019-11-05T20:25:25.509,10.474,0.619,-0.135,0.808
1573014325548,2019-11-05T20:25:25.548,10.513,0.410,-0.083,0.593
1573014325589,2019-11-05T20:25:25.589,10.554,0.181,0.018,0.463
1573014325629,2019-11-05T20:25:25.629,10.594,0.147,-0.110,0.327
1573014325668,2019-11-05T20:25:25.668,10.633,0.164,-0.227,0.290
1573014325709,2019-11-05T20:25:25.709,10.674,0.338,-0.334,0.389
1573014325749,2019-11-05T20:25:25.749,10.714,0.549,-0.402,0.798
1573014325790,2019-11-05T20:25:25.790,10.755,0.990,-0.271,1.451
1573014325830,2019-11-05T20:25:25.830,10.795,1.413,-0.360,1.798
1573014325869,2019-11-05T20:25:25.869,10.834,1.518,-0.352,1.772
1573014325910,2019-11-05T20:25:25.910,10.875,1.518,-0.172,1.432
1573014325950,2019-11-05T20:25:25.950,10.915,2.063,0.318,0.722
1573014325991,2019-11-05T20:25:25.991,10.956,3.754,1.193,0.130
1573014326030,2019-11-05T20:25:26.030,10.995,2.119,0.679,-0.410
1573014326070,2019-11-05T20:25:26.070,11.035,-11.561,-1.806,2.171
1573014326111,2019-11-05T20:25:26.111,11.076,-3.319,1.512,-2.195
1573014326150,2019-11-05T20:25:26.150,11.115,-0.233,1.481,-0.363
1573014326191,2019-11-05T20:25:26.191,11.156,-1.669,-1.701,1.031
1573014326231,2019-11-05T20:25:26.231,11.196,-0.337,-0.703,1.499
1573014326270,2019-11-05T20:25:26.270,11.235,1.438,-1.508,0.737
1573014326311,2019-11-05T20:25:26.311,11.276,2.447,-1.511,0.477
1573014326351,2019-11-05T20:25:26.351,11.316,1.977,-0.891,0.287
1573014326392,2019-11-05T20:25:26.392,11.357,1.194,-0.783,0.285
1573014326432,2019-11-05T20:25:26.432,11.397,0.499,-0.310,0.326
1573014326471,2019-11-05T20:25:26.471,11.436,0.971,-0.073,0.415
1573014326512,2019-11-05T20:25:26.512,11.477,1.194,-0.695,0.617
1573014326552,2019-11-05T20:25:26.552,11.517,0.650,-1.015,0.503
1573014326591,2019-11-05T20:25:26.591,11.556,0.427,-0.837,0.384
1573014326632,2019-11-05T20:25:26.632,11.597,0.594,-0.507,0.396
1573014326672,2019-11-05T20:25:26.672,11.637,0.683,-0.389,0.341
1573014326713,2019-11-05T20:25:26.713,11.678,0.633,-0.462,0.332
1573014326752,2019-11-05T20:25:26.752,11.717,0.640,-0.431,0.379
1573014326792,2019-11-05T20:25:26.792,11.757,0.690,-0.557,0.500
1573014326833,2019-11-05T20:25:26.833,11.798,0.641,-0.675,0.771
1573014326872,2019-11-05T20:25:26.872,11.837,0.623,-0.550,0.853
1573014326913,2019-11-05T20:25:26.913,11.878,0.648,-0.431,0.808
1573014326953,2019-11-05T20:25:26.953,11.918,0.587,-0.446,0.771
1573014326993,2019-11-05T20:25:26.993,11.958,0.463,-0.332,0.932
1573014327034,2019-11-05T20:25:27.034,11.999,0.377,-0.365,0.797
1573014327073,2019-11-05T20:25:27.073,12.038,0.355,-0.316,0.671
1573014327114,2019-11-05T20:25:27.114,12.079,0.398,-0.080,0.679
1573014327154,2019-11-05T20:25:27.154,12.119,0.523,0.094,0.643
1573014327193,2019-11-05T20:25:27.193,12.158,0.562,0.009,0.508
1573014327234,2019-11-05T20:25:27.234,12.199,0.533,-0.008,0.485
1573014327274,2019-11-05T20:25:27.274,12.239,0.519,0.024,0.417
1573014327315,2019-11-05T20:25:27.315,12.280,0.439,-0.032,0.429
1573014327354,2019-11-05T20:25:27.354,12.319,0.422,0.260,0.476
1573014327394,2019-11-05T20:25:27.394,12.359,0.448,0.144,0.519
1573014327435,2019-11-05T20:25:27.435,12.400,0.599,-0.239,0.829
1573014327475,2019-11-05T20:25:27.475,12.440,0.820,-0.637,1.337
1573014327516,2019-11-05T20:25:27.516,12.481,1.041,-0.719,2.005
1573014327555,2019-11-05T20:25:27.555,12.520,1.067,-0.759,2.121
1573014327595,2019-11-05T20:25:27.595,12.560,1.077,-0.696,1.894
1573014327636,2019-11-05T20:25:27.636,12.601,1.367,-0.330,1.083
1573014327675,2019-11-05T20:25:27.675,12.640,2.887,0.932,0.231
1573014327716,2019-11-05T20:25:27.716,12.681,3.816,0.330,-0.657
1573014327756,2019-11-05T20:25:27.756,12.721,-3.319,0.214,1.425
1573014327795,2019-11-05T20:25:27.795,12.760,-9.975,-1.907,0.801
1573014327836,2019-11-05T20:25:27.836,12.801,0.222,2.121,-2.246
1573014327876,2019-11-05T20:25:27.876,12.841,-0.995,-0.917,0.512
1573014327917,2019-11-05T20:25:27.917,12.882,-1.128,-1.565,1.277
1573014327956,2019-11-05T20:25:27.956,12.921,0.630,-1.212,0.806
1573014327996,2019-11-05T20:25:27.996,12.961,2.160,-1.755,0.468
1573014328037,2019-11-05T20:25:28.037,13.002,2.252,-0.999,0.624
1573014328077,2019-11-05T20:25:28.077,13.042,1.489,-1.114,0.633
1573014328116,2019-11-05T20:25:28.116,13.081,0.673,-0.917,0.638
1573014328157,2019-11-05T20:25:28.157,13.122,0.576,-0.571,0.595
1573014328197,2019-11-05T20:25:28.197,13.162,0.807,-0.943,0.556
1573014328238,2019-11-05T20:25:28.238,13.203,0.436,-1.134,0.540
1573014328277,2019-11-05T20:25:28.277,13.242,0.085,-0.976,0.396
1573014328317,2019-11-05T20:25:28.317,13.282,0.102,-0.700,0.317
1573014328358,2019-11-05T20:25:28.358,13.323,0.147,-0.683,0.155
1573014328397,2019-11-05T20:25:28.397,13.362,0.235,-0.626,0.079
1573014328438,2019-11-05T20:25:28.438,13.403,0.330,-0.430,0.121
1573014328478,2019-11-05T20:25:28.478,13.443,0.361,-0.464,0.164
1573014328517,2019-11-05T20:25:28.517,13.482,0.319,-0.529,0.266
1573014328559,2019-11-05T20:25:28.559,13.524,0.480,-0.638,0.410
1573014328598,2019-11-05T20:25:28.598,13.563,0.804,-0.956,0.658
1573014328639,2019-11-05T20:25:28.639,13.604,0.957,-1.355,1.220
1573014328679,2019-11-05T20:25:28.679,13.644,0.762,-1.271,1.592
1573014328718,2019-11-05T20:25:28.718,13.683,0.644,-0.967,1.518
1573014328759,2019-11-05T20:25:28.759,13.724,0.579,-0.743,1.022
1573014328799,2019-11-05T20:25:28.799,13.764,0.435,-0.255,0.446
1573014328840,2019-11-05T20:25:28.840,13.805,0.404,0.071,0.065
1573014328879,2019-11-05T20:25:28.879,13.844,0.361,0.091,-0.068
1573014328919,2019-11-05T20:25:28.919,13.884,0.303,0.163,-0.100
1573014328960,2019-11-05T20:25:28.960,13.925,0.289,0.175,-0.065
1573014328999,2019-11-05T20:25:28.999,13.964,0.395,0.139,0.010
1573014329040,2019-11-05T20:25:29.040,14.005,0.524,-0.210,0.099
1573014329080,2019-11-05T20:25:29.080,14.045,0.667,-0.412,0.753
1573014329120,2019-11-05T20:25:29.120,14.085,1.086,-0.217,1.785
1573014329161,2019-11-05T20:25:29.161,14.126,1.396,0.638,2.711
1573014329200,2019-11-05T20:25:29.200,14.165,1.240,1.093,2.460
1573014329241,2019-11-05T20:25:29.241,14.206,2.533,1.199,1.149
1573014329281,2019-11-05T20:25:29.281,14.246,4.605,1.167,-0.042
1573014329320,2019-11-05T20:25:29.320,14.285,-0.053,1.354,-0.546
1573014329361,2019-11-05T20:25:29.361,14.326,-11.763,-3.349,1.762
1573014329401,2019-11-05T20:25:29.401,14.366,-1.176,2.468,-3.102
1573014329442,2019-11-05T20:25:29.442,14.407,-0.177,1.095,0.220
1573014329481,2019-11-05T20:25:29.481,14.446,-1.643,-1.001,1.080
1573014329521,2019-11-05T20:25:29.521,14.486,-0.789,-0.228,1.430
1573014329562,2019-11-05T20:25:29.562,14.527,0.623,-1.378,0.957
1573014329601,2019-11-05T20:25:29.601,14.566,2.014,-1.313,0.712
1573014329641,2019-11-05T20:25:29.641,14.606,2.211,-1.023,0.587
1573014329682,2019-11-05T20:25:29.682,14.647,1.545,-1.026,0.467
1573014329722,2019-11-05T20:25:29.722,14.687,0.736,-0.969,0.518
