epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573106586000,2019-11-06T22:03:06.000,0.000,0.424,0.482,0.639
1573106586041,2019-11-06T22:03:06.041,0.041,0.404,0.539,0.599
1573106586080,2019-11-06T22:03:06.080,0.080,0.398,0.700,0.607
1573106586120,2019-11-06T22:03:06.120,0.120,0.367,0.939,0.603
1573106586159,2019-11-06T22:03:06.159,0.159,0.330,1.019,0.531
1573106586199,2019-11-06T22:03:06.199,0.199,0.364,0.798,0.415
1573106586239,2019-11-06T22:03:06.239,0.239,0.401,0.654,0.311
1573106586280,2019-11-06T22:03:06.280,0.280,0.398,0.862,0.239
1573106586319,2019-11-06T22:03:06.319,0.319,0.376,1.113,0.229
1573106586359,2019-11-06T22:03:06.359,0.359,0.396,1.114,0.196
1573106586398,2019-11-06T22:03:06.398,0.398,0.391,1.072,0.196
1573106586438,2019-11-06T22:03:06.438,0.438,0.390,1.040,0.245
1573106586479,2019-11-06T22:03:06.479,0.479,0.409,1.047,0.301
1573106586518,2019-11-06T22:03:06.518,0.518,0.413,1.130,0.398
1573106586558,2019-11-06T22:03:06.558,0.558,0.458,0.991,0.517
1573106586597,2019-11-06T22:03:06.597,0.597,0.489,0.652,0.658
1573106586637,2019-11-06T22:03:06.637,0.637,0.535,0.511,0.684
1573106586678,2019-11-06T22:03:06.678,0.678,0.568,0.427,0.627
1573106586718,2019-11-06T22:03:06.718,0.718,0.563,0.270,0.646
1573106586757,2019-11-06T22:03:06.757,0.757,0.522,0.299,0.662
1573106586797,2019-11-06T22:03:06.797,0.797,0.501,0.472,0.688
1573106586836,2019-11-06T22:03:06.836,0.836,0.490,0.642,0.757
1573106586876,2019-11-06T22:03:06.876,0.876,0.463,0.752,0.803
1573106586917,2019-11-06T22:03:06.917,0.917,0.417,0.772,0.763
1573106586956,2019-11-06T22:03:06.956,0.956,0.405,0.658,0.654
1573106586996,2019-11-06T22:03:06.996,0.996,0.435,0.553,0.571
1573106587035,2019-11-06T22:03:07.035,1.035,0.454,0.608,0.549
1573106587075,2019-11-06T22:03:07.075,1.075,0.442,0.761,0.583
1573106587115,2019-11-06T22:03:07.115,1.115,0.428,0.839,0.596
1573106587154,2019-11-06T22:03:07.154,1.154,0.442,0.824,0.584
1573106587195,2019-11-06T22:03:07.195,1.195,0.452,0.806,0.542
1573106587235,2019-11-06T22:03:07.235,1.235,0.447,0.803,0.503
1573106587274,2019-11-06T22:03:07.274,1.274,0.431,0.825,0.493
1573106587314,2019-11-06T22:03:07.314,1.314,0.425,0.810,0.465
1573106587353,2019-11-06T22:03:07.353,1.353,0.434,0.805,0.451
1573106587393,2019-11-06T22:03:07.393,1.393,0.446,0.875,0.474
1573106587434,2019-11-06T22:03:07.434,1.434,0.431,0.979,0.495
1573106587473,2019-11-06T22:03:07.473,1.473,0.413,0.909,0.489
1573106587513,2019-11-06T22:03:07.513,1.513,0.436,0.690,0.467
1573106587553,2019-11-06T22:03:07.553,1.553,0.457,0.626,0.480
1573106587592,2019-11-06T22:03:07.592,1.592,0.461,0.777,0.509
1573106587632,2019-11-06T22:03:07.632,1.632,0.462,0.896,0.557
1573106587673,2019-11-06T22:03:07.673,1.673,0.475,0.926,0.592
1573106587712,2019-11-06T22:03:07.712,1.712,0.468,0.938,0.624
1573106587752,2019-11-06T22:03:07.752,1.752,0.461,0.862,0.625
1573106587791,2019-11-06T22:03:07.791,1.791,0.481,0.746,0.582
1573106587831,2019-11-06T22:03:07.831,1.831,0.487,0.763,0.546
1573106587870,2019-11-06T22:03:07.870,1.870,0.486,0.773,0.528
1573106587911,2019-11-06T22:03:07.911,1.911,0.465,0.752,0.528
1573106587951,2019-11-06T22:03:07.951,1.951,0.377,0.745,0.564
1573106587991,2019-11-06T22:03:07.991,1.991,0.320,0.525,0.510
1573106588030,2019-11-06T22:03:08.030,2.030,0.468,0.272,0.400
1573106588070,2019-11-06T22:03:08.070,2.070,0.568,0.454,0.335
1573106588111,2019-11-06T22:03:08.111,2.111,0.523,0.949,0.312
1573106588150,2019-11-06T22:03:08.150,2.150,0.508,1.274,0.324
1573106588190,2019-11-06T22:03:08.190,2.190,0.595,1.123,0.288
1573106588229,2019-11-06T22:03:08.229,2.229,0.648,0.974,0.246
1573106588269,2019-11-06T22:03:08.269,2.269,0.642,0.985,0.249
1573106588310,2019-11-06T22:03:08.310,2.310,0.593,1.042,0.279
1573106588349,2019-11-06T22:03:08.349,2.349,0.538,1.030,0.304
1573106588389,2019-11-06T22:03:08.389,2.389,0.511,0.965,0.333
1573106588428,2019-11-06T22:03:08.428,2.428,0.461,0.892,0.349
1573106588468,2019-11-06T22:03:08.468,2.468,0.429,0.788,0.357
1573106588508,2019-11-06T22:03:08.508,2.508,0.404,0.754,0.368
1573106588547,2019-11-06T22:03:08.547,2.547,0.382,0.773,0.384
1573106588588,2019-11-06T22:03:08.588,2.588,0.365,0.786,0.403
1573106588628,2019-11-06T22:03:08.628,2.628,0.356,0.782,0.415
1573106588667,2019-11-06T22:03:08.667,2.667,0.375,0.774,0.419
1573106588707,2019-11-06T22:03:08.707,2.707,0.400,0.795,0.435
1573106588746,2019-11-06T22:03:08.746,2.746,0.417,0.779,0.465
1573106588786,2019-11-06T22:03:08.786,2.786,0.432,0.739,0.478
1573106588827,2019-11-06T22:03:08.827,2.827,0.460,0.764,0.473
1573106588866,2019-11-06T22:03:08.866,2.866,0.530,0.938,0.369
1573106588906,2019-11-06T22:03:08.906,2.906,0.547,1.146,0.257
1573106588946,2019-11-06T22:03:08.946,2.946,0.570,1.149,0.137
1573106588985,2019-11-06T22:03:08.985,2.985,0.619,1.033,0.029
1573106589025,2019-11-06T22:03:09.025,3.025,0.699,0.827,-0.013
1573106589066,2019-11-06T22:03:09.066,3.066,0.731,0.680,0.019
1573106589105,2019-11-06T22:03:09.105,3.105,0.687,0.785,0.108
1573106589145,2019-11-06T22:03:09.145,3.145,0.619,1.021,0.211
1573106589184,2019-11-06T22:03:09.184,3.184,0.563,1.050,0.326
1573106589224,2019-11-06T22:03:09.224,3.224,0.506,0.810,0.431
1573106589263,2019-11-06T22:03:09.263,3.263,0.425,0.524,0.591
1573106589304,2019-11-06T22:03:09.304,3.304,0.373,0.345,0.750
1573106589344,2019-11-06T22:03:09.344,3.344,0.380,0.409,0.821
1573106589384,2019-11-06T22:03:09.384,3.384,0.389,0.663,0.713
1573106589423,2019-11-06T22:03:09.423,3.423,0.375,0.626,0.722
1573106589463,2019-11-06T22:03:09.463,3.463,0.277,0.458,1.009
1573106589502,2019-11-06T22:03:09.502,3.502,0.497,0.966,0.608
1573106589543,2019-11-06T22:03:09.543,3.543,0.458,0.769,0.558
1573106589583,2019-11-06T22:03:09.583,3.583,0.421,0.553,0.699
1573106589622,2019-11-06T22:03:09.622,3.622,0.420,0.661,0.623
1573106589662,2019-11-06T22:03:09.662,3.662,0.404,0.678,0.633
1573106589701,2019-11-06T22:03:09.701,3.701,0.390,0.701,0.627
1573106589742,2019-11-06T22:03:09.742,3.742,0.372,0.735,0.606
1573106589782,2019-11-06T22:03:09.782,3.782,0.379,0.733,0.582
1573106589822,2019-11-06T22:03:09.822,3.822,0.383,0.763,0.565
1573106589861,2019-11-06T22:03:09.861,3.861,0.400,0.788,0.538
1573106589901,2019-11-06T22:03:09.901,3.901,0.417,0.843,0.511
1573106589940,2019-11-06T22:03:09.940,3.940,0.419,0.939,0.492
1573106589981,2019-11-06T22:03:09.981,3.981,0.402,0.988,0.460
1573106590021,2019-11-06T22:03:10.021,4.021,0.384,1.018,0.418
1573106590060,2019-11-06T22:03:10.060,4.060,0.356,1.013,0.394
1573106590100,2019-11-06T22:03:10.100,4.100,0.326,1.020,0.366
1573106590139,2019-11-06T22:03:10.139,4.139,0.318,0.988,0.346
1573106590179,2019-11-06T22:03:10.179,4.179,0.341,0.898,0.339
1573106590220,2019-11-06T22:03:10.220,4.220,0.390,0.840,0.334
1573106590260,2019-11-06T22:03:10.260,4.260,0.435,0.827,0.359
1573106590299,2019-11-06T22:03:10.299,4.299,0.444,0.850,0.429
1573106590339,2019-11-06T22:03:10.339,4.339,0.453,0.845,0.474
1573106590378,2019-11-06T22:03:10.378,4.378,0.494,0.842,0.509
1573106590418,2019-11-06T22:03:10.418,4.418,0.476,0.932,0.560
1573106590459,2019-11-06T22:03:10.459,4.459,0.412,0.916,0.606
1573106590498,2019-11-06T22:03:10.498,4.498,0.366,0.691,0.603
1573106590538,2019-11-06T22:03:10.538,4.538,0.357,0.511,0.577
1573106590577,2019-11-06T22:03:10.577,4.577,0.378,0.570,0.563
1573106590617,2019-11-06T22:03:10.617,4.617,0.391,0.781,0.562
1573106590657,2019-11-06T22:03:10.657,4.657,0.347,1.045,0.542
1573106590698,2019-11-06T22:03:10.698,4.698,0.329,1.057,0.491
1573106590737,2019-11-06T22:03:10.737,4.737,0.375,0.811,0.457
1573106590777,2019-11-06T22:03:10.777,4.777,0.426,0.778,0.437
1573106590816,2019-11-06T22:03:10.816,4.816,0.418,0.872,0.534
1573106590856,2019-11-06T22:03:10.856,4.856,0.426,0.891,0.553
1573106590895,2019-11-06T22:03:10.895,4.895,0.446,0.797,0.607
1573106590936,2019-11-06T22:03:10.936,4.936,0.456,0.674,0.692
1573106590976,2019-11-06T22:03:10.976,4.976,0.467,0.681,0.690
1573106591015,2019-11-06T22:03:11.015,5.015,0.468,0.641,0.708
1573106591055,2019-11-06T22:03:11.055,5.055,0.516,0.606,0.647
1573106591095,2019-11-06T22:03:11.095,5.095,0.526,0.550,0.593
1573106591134,2019-11-06T22:03:11.134,5.134,0.482,0.521,0.550
1573106591175,2019-11-06T22:03:11.175,5.175,0.493,0.608,0.509
1573106591215,2019-11-06T22:03:11.215,5.215,0.521,0.758,0.537
1573106591254,2019-11-06T22:03:11.254,5.254,0.463,0.930,0.612
1573106591294,2019-11-06T22:03:11.294,5.294,0.347,0.942,0.590
1573106591333,2019-11-06T22:03:11.333,5.333,0.342,0.758,0.537
1573106591374,2019-11-06T22:03:11.374,5.374,0.331,0.695,0.595
1573106591414,2019-11-06T22:03:11.414,5.414,0.379,0.814,0.529
1573106591453,2019-11-06T22:03:11.453,5.453,0.333,0.973,0.524
1573106591493,2019-11-06T22:03:11.493,5.493,0.320,0.954,0.578
1573106591533,2019-11-06T22:03:11.533,5.533,0.302,0.878,0.484
1573106591572,2019-11-06T22:03:11.572,5.572,0.306,0.862,0.460
1573106591613,2019-11-06T22:03:11.613,5.613,0.314,0.628,0.676
1573106591653,2019-11-06T22:03:11.653,5.653,0.285,0.480,0.811
1573106591692,2019-11-06T22:03:11.692,5.692,0.302,0.679,0.887
1573106591732,2019-11-06T22:03:11.732,5.732,0.332,0.861,0.914
1573106591771,2019-11-06T22:03:11.771,5.771,0.332,0.712,0.800
1573106591811,2019-11-06T22:03:11.811,5.811,0.308,0.551,0.889
1573106591852,2019-11-06T22:03:11.852,5.852,0.365,0.663,0.804
1573106591891,2019-11-06T22:03:11.891,5.891,0.402,0.641,0.725
1573106591931,2019-11-06T22:03:11.931,5.931,0.409,0.621,0.834
1573106591970,2019-11-06T22:03:11.970,5.970,0.429,0.646,0.760
1573106592010,2019-11-06T22:03:12.010,6.010,0.541,0.579,0.525
1573106592050,2019-11-06T22:03:12.050,6.050,0.631,0.671,0.396
1573106592091,2019-11-06T22:03:12.091,6.091,0.657,0.793,0.350
1573106592130,2019-11-06T22:03:12.130,6.130,0.670,0.783,0.323
1573106592170,2019-11-06T22:03:12.170,6.170,0.646,0.699,0.334
1573106592209,2019-11-06T22:03:12.209,6.209,0.652,0.578,0.354
1573106592249,2019-11-06T22:03:12.249,6.249,0.691,0.496,0.357
1573106592288,2019-11-06T22:03:12.288,6.288,0.700,0.461,0.387
1573106592329,2019-11-06T22:03:12.329,6.329,0.736,0.545,0.441
1573106592369,2019-11-06T22:03:12.369,6.369,0.778,0.569,0.456
1573106592408,2019-11-06T22:03:12.408,6.408,0.764,0.527,0.458
1573106592448,2019-11-06T22:03:12.448,6.448,0.793,0.466,0.526
1573106592488,2019-11-06T22:03:12.488,6.488,0.824,0.412,0.586
1573106592527,2019-11-06T22:03:12.527,6.527,0.774,0.433,0.667
1573106592568,2019-11-06T22:03:12.568,6.568,0.741,0.469,0.683
1573106592608,2019-11-06T22:03:12.608,6.608,0.757,0.566,0.654
1573106592647,2019-11-06T22:03:12.647,6.647,0.629,0.729,0.616
1573106592687,2019-11-06T22:03:12.687,6.687,0.516,0.763,0.518
1573106592726,2019-11-06T22:03:12.726,6.726,0.503,0.785,0.453
1573106592766,2019-11-06T22:03:12.766,6.766,0.481,0.865,0.433
1573106592807,2019-11-06T22:03:12.807,6.807,0.503,0.917,0.406
1573106592846,2019-11-06T22:03:12.846,6.846,0.533,0.895,0.344
1573106592886,2019-11-06T22:03:12.886,6.886,0.576,0.793,0.317
1573106592926,2019-11-06T22:03:12.926,6.926,0.627,0.729,0.306
1573106592965,2019-11-06T22:03:12.965,6.965,0.676,0.664,0.352
1573106593006,2019-11-06T22:03:13.006,7.006,0.691,0.655,0.489
1573106593046,2019-11-06T22:03:13.046,7.046,0.692,0.733,0.605
1573106593085,2019-11-06T22:03:13.085,7.085,0.680,0.850,0.689
1573106593125,2019-11-06T22:03:13.125,7.125,0.622,0.947,0.720
1573106593164,2019-11-06T22:03:13.164,7.164,0.543,1.008,0.733
1573106593204,2019-11-06T22:03:13.204,7.204,0.479,1.002,0.715
1573106593245,2019-11-06T22:03:13.245,7.245,0.426,0.880,0.612
1573106593284,2019-11-06T22:03:13.284,7.284,0.401,0.746,0.512
1573106593324,2019-11-06T22:03:13.324,7.324,0.395,0.694,0.458
1573106593364,2019-11-06T22:03:13.364,7.364,0.381,0.673,0.446
1573106593403,2019-11-06T22:03:13.403,7.403,0.391,0.682,0.467
1573106593443,2019-11-06T22:03:13.443,7.443,0.418,0.698,0.502
1573106593484,2019-11-06T22:03:13.484,7.484,0.484,0.667,0.519
1573106593523,2019-11-06T22:03:13.523,7.523,0.572,0.622,0.542
1573106593563,2019-11-06T22:03:13.563,7.563,0.617,0.654,0.604
1573106593602,2019-11-06T22:03:13.602,7.602,0.647,0.658,0.627
1573106593642,2019-11-06T22:03:13.642,7.642,0.660,0.638,0.614
1573106593681,2019-11-06T22:03:13.681,7.681,0.677,0.618,0.585
1573106593722,2019-11-06T22:03:13.722,7.722,0.664,0.650,0.548
1573106593762,2019-11-06T22:03:13.762,7.762,0.652,0.686,0.530
1573106593802,2019-11-06T22:03:13.802,7.802,0.634,0.669,0.527
1573106593841,2019-11-06T22:03:13.841,7.841,0.609,0.669,0.538
1573106593881,2019-11-06T22:03:13.881,7.881,0.584,0.718,0.553
1573106593920,2019-11-06T22:03:13.920,7.920,0.567,0.740,0.564
1573106593961,2019-11-06T22:03:13.961,7.961,0.549,0.736,0.568
1573106594001,2019-11-06T22:03:14.001,8.001,0.548,0.733,0.562
1573106594040,2019-11-06T22:03:14.040,8.040,0.554,0.735,0.550
1573106594080,2019-11-06T22:03:14.080,8.080,0.560,0.709,0.535
1573106594119,2019-11-06T22:03:14.119,8.119,0.570,0.686,0.536
1573106594159,2019-11-06T22:03:14.159,8.159,0.588,0.660,0.543
1573106594200,2019-11-06T22:03:14.200,8.200,0.605,0.625,0.554
1573106594240,2019-11-06T22:03:14.240,8.240,0.651,0.554,0.564
1573106594279,2019-11-06T22:03:14.279,8.279,0.685,0.516,0.590
1573106594319,2019-11-06T22:03:14.319,8.319,0.685,0.549,0.643
1573106594358,2019-11-06T22:03:14.358,8.358,0.664,0.545,0.678
1573106594398,2019-11-06T22:03:14.398,8.398,0.644,0.527,0.693
1573106594439,2019-11-06T22:03:14.439,8.439,0.606,0.533,0.694
1573106594478,2019-11-06T22:03:14.478,8.478,0.557,0.560,0.691
1573106594518,2019-11-06T22:03:14.518,8.518,0.464,0.667,0.718
1573106594557,2019-11-06T22:03:14.557,8.557,0.322,0.780,0.736
1573106594597,2019-11-06T22:03:14.597,8.597,0.178,0.852,0.701
1573106594638,2019-11-06T22:03:14.638,8.638,0.129,0.864,0.619
1573106594678,2019-11-06T22:03:14.678,8.678,0.177,0.948,0.536
1573106594717,2019-11-06T22:03:14.717,8.717,0.361,1.001,0.492
1573106594757,2019-11-06T22:03:14.757,8.757,0.660,0.939,0.434
1573106594796,2019-11-06T22:03:14.796,8.796,1.435,0.656,0.467
1573106594836,2019-11-06T22:03:14.836,8.836,2.490,0.689,0.820
1573106594877,2019-11-06T22:03:14.877,8.877,2.556,0.714,0.920
1573106594916,2019-11-06T22:03:14.916,8.916,3.047,-1.417,-0.697
1573106594956,2019-11-06T22:03:14.956,8.956,2.900,-0.962,-1.492
1573106594995,2019-11-06T22:03:14.995,8.995,-4.938,2.246,2.091
1573106595035,2019-11-06T22:03:15.035,9.035,-8.436,2.629,1.889
1573106595074,2019-11-06T22:03:15.074,9.074,-1.200,-1.685,-1.631
1573106595116,2019-11-06T22:03:15.116,9.116,0.420,1.547,0.348
1573106595155,2019-11-06T22:03:15.155,9.155,1.099,1.257,1.052
1573106595195,2019-11-06T22:03:15.195,9.195,1.478,0.786,1.103
1573106595234,2019-11-06T22:03:15.234,9.234,1.226,0.627,1.004
1573106595274,2019-11-06T22:03:15.274,9.274,0.853,0.199,0.811
1573106595313,2019-11-06T22:03:15.313,9.313,0.523,0.620,0.601
1573106595354,2019-11-06T22:03:15.354,9.354,0.295,0.826,0.491
1573106595394,2019-11-06T22:03:15.394,9.394,0.074,0.849,0.518
1573106595433,2019-11-06T22:03:15.433,9.433,-0.017,0.905,0.589
1573106595473,2019-11-06T22:03:15.473,9.473,0.070,1.162,0.775
1573106595512,2019-11-06T22:03:15.512,9.512,0.391,1.101,0.899
1573106595552,2019-11-06T22:03:15.552,9.552,0.856,0.791,0.762
1573106595593,2019-11-06T22:03:15.593,9.593,1.267,0.540,0.643
1573106595633,2019-11-06T22:03:15.633,9.633,1.331,0.225,0.588
1573106595672,2019-11-06T22:03:15.672,9.672,1.659,-0.569,0.014
1573106595712,2019-11-06T22:03:15.712,9.712,2.680,-1.411,-0.650
1573106595751,2019-11-06T22:03:15.751,9.751,3.845,-1.745,-1.760
1573106595791,2019-11-06T22:03:15.791,9.791,1.640,-0.663,-1.772
1573106595832,2019-11-06T22:03:15.832,9.832,-9.754,4.210,5.578
1573106595871,2019-11-06T22:03:15.871,9.871,-5.045,-1.447,-1.084
1573106595911,2019-11-06T22:03:15.911,9.911,0.066,-0.058,0.103
1573106595950,2019-11-06T22:03:15.950,9.950,0.549,0.889,0.922
1573106595990,2019-11-06T22:03:15.990,9.990,1.108,0.811,0.740
1573106596030,2019-11-06T22:03:16.030,10.030,0.900,1.314,0.780
1573106596071,2019-11-06T22:03:16.071,10.071,0.430,1.514,0.830
1573106596110,2019-11-06T22:03:16.110,10.110,0.297,1.381,0.670
1573106596150,2019-11-06T22:03:16.150,10.150,0.792,1.084,0.431
1573106596189,2019-11-06T22:03:16.189,10.189,1.564,0.743,0.227
1573106596229,2019-11-06T22:03:16.229,10.229,2.029,0.501,0.285
1573106596270,2019-11-06T22:03:16.270,10.270,1.620,0.415,0.529
1573106596309,2019-11-06T22:03:16.309,10.309,1.376,-0.004,0.411
1573106596349,2019-11-06T22:03:16.349,10.349,1.967,-0.562,-0.233
1573106596388,2019-11-06T22:03:16.388,10.388,3.316,-1.692,-2.228
1573106596428,2019-11-06T22:03:16.428,10.428,1.306,-0.621,-2.774
1573106596468,2019-11-06T22:03:16.468,10.468,-9.722,4.309,5.500
1573106596509,2019-11-06T22:03:16.509,10.509,-4.443,-1.473,-0.667
1573106596548,2019-11-06T22:03:16.548,10.548,0.397,-0.129,0.175
1573106596588,2019-11-06T22:03:16.588,10.588,0.478,1.007,1.386
1573106596627,2019-11-06T22:03:16.627,10.627,0.927,0.883,0.991
1573106596667,2019-11-06T22:03:16.667,10.667,0.567,1.738,0.680
1573106596706,2019-11-06T22:03:16.706,10.706,0.226,1.543,0.622
1573106596747,2019-11-06T22:03:16.747,10.747,0.680,1.300,0.362
1573106596787,2019-11-06T22:03:16.787,10.787,1.757,1.045,0.215
1573106596826,2019-11-06T22:03:16.826,10.826,2.403,0.656,0.250
1573106596866,2019-11-06T22:03:16.866,10.866,1.959,0.399,0.367
1573106596906,2019-11-06T22:03:16.906,10.906,2.295,-0.965,-0.610
1573106596945,2019-11-06T22:03:16.945,10.945,3.613,-1.592,-2.003
1573106596986,2019-11-06T22:03:16.986,10.986,2.233,-0.648,-2.503
1573106597026,2019-11-06T22:03:17.026,11.026,-8.729,2.790,5.655
1573106597065,2019-11-06T22:03:17.065,11.065,-5.417,-1.362,-0.150
1573106597105,2019-11-06T22:03:17.105,11.105,-0.419,-1.479,-0.710
1573106597144,2019-11-06T22:03:17.144,11.144,-1.003,2.365,0.969
1573106597184,2019-11-06T22:03:17.184,11.184,-0.009,1.316,1.196
1573106597225,2019-11-06T22:03:17.225,11.225,1.003,2.054,0.862
1573106597264,2019-11-06T22:03:17.264,11.264,1.771,2.060,0.742
1573106597304,2019-11-06T22:03:17.304,11.304,2.288,1.227,0.500
1573106597344,2019-11-06T22:03:17.344,11.344,2.361,0.709,0.079
1573106597383,2019-11-06T22:03:17.383,11.383,2.533,-0.266,-0.420
1573106597423,2019-11-06T22:03:17.423,11.423,2.794,-0.437,-0.846
1573106597464,2019-11-06T22:03:17.464,11.464,3.519,-0.917,-1.882
1573106597503,2019-11-06T22:03:17.503,11.503,2.655,-0.964,-2.596
1573106597543,2019-11-06T22:03:17.543,11.543,-9.196,4.310,4.429
1573106597582,2019-11-06T22:03:17.582,11.582,-7.334,-1.462,0.626
1573106597622,2019-11-06T22:03:17.622,11.622,-0.889,-2.897,-1.173
1573106597661,2019-11-06T22:03:17.661,11.661,-1.121,3.170,0.677
1573106597702,2019-11-06T22:03:17.702,11.702,0.732,1.710,0.781
1573106597742,2019-11-06T22:03:17.742,11.742,1.324,2.798,0.397
1573106597782,2019-11-06T22:03:17.782,11.782,1.320,2.287,0.268
1573106597821,2019-11-06T22:03:17.821,11.821,0.774,1.888,0.468
1573106597861,2019-11-06T22:03:17.861,11.861,0.937,1.443,0.386
1573106597902,2019-11-06T22:03:17.902,11.902,1.948,1.001,0.059
1573106597941,2019-11-06T22:03:17.941,11.941,2.587,0.838,-0.096
1573106597981,2019-11-06T22:03:17.981,11.981,2.865,-0.191,-0.894
1573106598020,2019-11-06T22:03:18.020,12.020,3.294,-1.607,-1.972
1573106598060,2019-11-06T22:03:18.060,12.060,2.085,-1.222,-2.482
1573106598099,2019-11-06T22:03:18.099,12.099,-6.927,2.041,2.374
1573106598140,2019-11-06T22:03:18.140,12.140,-8.219,0.853,2.038
1573106598180,2019-11-06T22:03:18.180,12.180,-0.764,-1.847,-1.284
1573106598220,2019-11-06T22:03:18.220,12.220,0.250,1.376,0.266
1573106598259,2019-11-06T22:03:18.259,12.259,0.690,1.599,0.894
1573106598299,2019-11-06T22:03:18.299,12.299,0.641,2.123,1.055
1573106598338,2019-11-06T22:03:18.338,12.338,0.324,1.898,0.912
1573106598379,2019-11-06T22:03:18.379,12.379,0.265,1.893,0.922
1573106598419,2019-11-06T22:03:18.419,12.419,1.363,1.542,1.038
1573106598458,2019-11-06T22:03:18.458,12.458,2.645,0.924,0.428
1573106598498,2019-11-06T22:03:18.498,12.498,2.645,0.933,-0.539
1573106598537,2019-11-06T22:03:18.537,12.537,2.187,-0.225,-2.060
1573106598577,2019-11-06T22:03:18.577,12.577,2.815,-2.089,-3.382
1573106598618,2019-11-06T22:03:18.618,12.618,-0.180,-0.010,-2.787
1573106598658,2019-11-06T22:03:18.658,12.658,-9.719,4.051,6.050
1573106598697,2019-11-06T22:03:18.697,12.697,-3.510,-2.505,0.546
1573106598737,2019-11-06T22:03:18.737,12.737,-0.181,-0.203,-1.040
1573106598776,2019-11-06T22:03:18.776,12.776,-0.410,2.032,0.912
1573106598816,2019-11-06T22:03:18.816,12.816,0.487,1.459,1.026
1573106598857,2019-11-06T22:03:18.857,12.857,0.349,2.237,1.042
1573106598896,2019-11-06T22:03:18.896,12.896,0.442,2.168,1.299
1573106598936,2019-11-06T22:03:18.936,12.936,1.826,1.634,1.279
1573106598975,2019-11-06T22:03:18.975,12.975,3.278,0.525,0.250
1573106599015,2019-11-06T22:03:19.015,13.015,3.077,0.032,-1.001
1573106599054,2019-11-06T22:03:19.054,13.054,2.743,-0.654,-1.565
1573106599095,2019-11-06T22:03:19.095,13.095,3.128,-1.270,-2.113
1573106599135,2019-11-06T22:03:19.135,13.135,1.061,-0.170,-2.481
1573106599175,2019-11-06T22:03:19.175,13.175,-9.599,4.953,5.417
